baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EFEADKAH_00955	9.0503937455365	3.23213552262566	0.895418488632884	3.60963679403186	0.000306626040636933	0.000450631568221156
EFEADKAH_00361	23.3919415402255	3.22040277118633	0.544865135496375	5.91045849951938	3.41156797702874e-09	6.04414794993499e-09
EFEADKAH_00397	41.494184901899	3.20843644432413	0.415888870797991	7.71464847849357	1.21316129233029e-14	2.45553583317155e-14
EFEADKAH_00372	3707.13881750088	3.20330877505952	0.0690645305280502	46.3813878204603	0	0
EFEADKAH_01307	1.93508485411665	3.20163031052686	1.7271161081011	1.85374352975431	0.0637758608853647	0.0798782098671827
EFEADKAH_01277	392.198926250193	3.14264862159466	0.156052054746055	20.1384635832493	3.39711638610741e-90	1.71900906092993e-89
EFEADKAH_00231	764.46279171822	3.13062452225812	0.115898994682158	27.0116624466292	1.07813732455716e-160	8.60803045939307e-160
EFEADKAH_02107	5184.86308531968	3.12803859867891	0.0775386151285803	40.3416877318709	0	0
EFEADKAH_01366	60062.705399997	3.12636956818305	0.0557593582464541	56.068966116228	0	0
EFEADKAH_00823	8528.66443327289	3.11154894666302	0.0647256716329099	48.0728722957113	0	0
EFEADKAH_01023	105237.807083536	3.10503532133223	0.0492524733881065	63.0432363642886	0	0
EFEADKAH_00381	416.047249741552	3.09473486957076	0.147001671321614	21.052378804592	2.17485896188742e-98	1.16686581891336e-97
EFEADKAH_02192	12.9833819928257	3.05791227074654	0.713480340974935	4.28590963917529	1.81992956499976e-05	2.83433189073046e-05
EFEADKAH_00331	5504.54229143902	3.05520662090141	0.0676572671440426	45.1571095001053	0	0
EFEADKAH_02440	4.90126411422628	3.05241569732238	1.14697640762592	2.6612715632403	0.00778461438146366	0.0105208767835235
EFEADKAH_00399	64.4148829859788	2.99454167070911	0.327329699944253	9.14839585659081	5.77852044466863e-20	1.28195035671314e-19
EFEADKAH_00829	22001.441486389	2.99432488166901	0.0565405656715532	52.9588773317759	0	0
EFEADKAH_01511	54051.9592904498	2.95633652161645	0.0538198317284964	54.9302446081624	0	0
EFEADKAH_00094	2070.42567755034	2.93407002478016	0.108732894464354	26.9841986570314	2.26531726064093e-160	1.78977807590064e-159
EFEADKAH_01807	1421.22004940167	2.92092765349915	0.0917234785447789	31.8449289085037	1.5472650205575e-222	1.71502708872052e-221
EFEADKAH_02851	9076.91800826386	2.91375806912132	0.0583654631839567	49.9226410649345	0	0
EFEADKAH_00318	175.620240777303	2.91284926239311	0.210379800193456	13.8456698775955	1.35115239198562e-43	4.27229586013424e-43
EFEADKAH_01024	215509.591797322	2.91251140192067	0.0793196848119997	36.7186456782297	3.68148369617339e-295	5.43422910469302e-294
EFEADKAH_00899	2680.43331087699	2.8923769637926	0.0890380559942805	32.4847272494179	1.7522443377183e-231	2.03934283305215e-230
EFEADKAH_01926	1337.02083499053	2.88283627001748	0.0902071088669275	31.9579721180313	4.18656301224635e-224	4.67473788747507e-223
EFEADKAH_02852	2950.99566724764	2.85640869990808	0.0782340056949046	36.5110884267827	7.39572394636353e-292	1.07078759146871e-290
EFEADKAH_00513	6783.15436841465	2.84916882081644	0.0627538258402745	45.4023126505203	0	0
EFEADKAH_00637	2449.61239668952	2.84343142757829	0.0762326113895719	37.2994099998424	1.6776411802969e-304	2.57692498049665e-303
EFEADKAH_00124	56925.6006322234	2.80052597021614	0.0589248981976666	47.52703960254	0	0
EFEADKAH_01503	34812.6446696358	2.79707597221653	0.0692251518803756	40.4054869688118	0	0
EFEADKAH_01819	5403.54566738844	2.79043867759221	0.0623666438735093	44.7424857949984	0	0
EFEADKAH_02774	2.68109386957662	2.78800789551337	1.57586591023256	1.7691910697541	0.0768619939848462	0.0955172048452339
EFEADKAH_00374	2194.85773636509	2.78286631470351	0.0897061698186031	31.022016883909	2.72144748205825e-211	2.84951559886099e-210
EFEADKAH_00380	3632.74861871888	2.78141671456146	0.0857274057896574	32.444895409363	6.39332977142193e-231	7.35597562293641e-230
EFEADKAH_02857	1.48900883990901	2.77060444104058	2.02708543717792	1.36679213920938	0.171690467400592	0.205106732867822
EFEADKAH_01509	60735.7407535407	2.76332063688117	0.0721973254611417	38.2745568375445	0	0
EFEADKAH_01281	758.353032362612	2.76294020656904	0.10237034489731	26.9896541751483	1.95479543537453e-160	1.54848455168673e-159
EFEADKAH_00828	3139.95867858931	2.75181982453619	0.0715577882392552	38.4559094439227	0	0
